NO,기업명,기업코드,ESG등급,지배구조,사회,환경,평가년도,비고
4907, AJ네트웍스,095570,B이하,B,B이하,B이하,2017,
4906, AJ렌터카,068400,B이하,C,B이하,B이하,2017,
4905, AK홀딩스,006840,B이하,B,B이하,B이하,2017,
4904, BGF,027410,B이하,B,A,B이하,2017,
4903, BNK금융지주,138930,B+,B,A,B+,2017,
4902, BYC,001460,B이하,B,B이하,B이하,2017,
4901, CJ,001040,A,A,A,B이하,2017,
4900, CJ CGV,079160,B이하,B+,B+,B이하,2017,
4899, CJ대한통운,000120,B+,B+,B+,A,2017,
4898, CJ씨푸드,011150,B이하,B,B이하,B이하,2017,
4897, CJ제일제당,097950,A,B+,A,A,2017,
4896, CJ헬로,037560,B이하,B+,B+,B이하,2017,
4895, CS홀딩스,000590,B이하,B,B이하,B이하,2017,
4894, DB,012030,B이하,B,B이하,B이하,2017,
4893, DB하이텍,000990,B이하,C,B+,B+,2017,
4892, DGB금융지주,139130,A,A,A,A,2017,
4891, DRB동일,004840,B이하,B,B이하,B이하,2017,
4890, DSR,155660,B이하,C,B이하,B이하,2017,
4889, DSR제강,069730,B이하,B,B이하,B이하,2017,
4888, E1,017940,B이하,B+,B+,B이하,2017,
4887, F&F,007700,B이하,B,B이하,B이하,2017,
4886, GKL,114090,B이하,B+,B이하,B이하,2017,
4885, GS,078930,B이하,B+,B이하,B이하,2017,
4884, GS건설,006360,A,B+,A,A,2017,
4883, GS글로벌,001250,B이하,B+,B이하,B이하,2017,
4882, GS리테일,007070,B+,B+,B+,B이하,2017,
4881, HMC투자증권,001500,B이하,A,B이하,B이하,2017,
4880, JB금융지주,175330,B이하,A,B이하,B이하,2017,
4879, JW생명과학,234080,B이하,B,B이하,B+,2017,16년10월 상장
4878, JW중외제약,001060,B이하,B,B+,B이하,2017,
4877, JW홀딩스,096760,B이하,B+,B이하,B이하,2017,
4876, KB금융,105560,A,A,A,A,2017,
4875, KC그린홀딩스,009440,B이하,B,B이하,B이하,2017,
4874, KC코트렐,119650,B이하,B,B이하,B이하,2017,
4873, KEC,092220,B이하,B,B이하,B+,2017,
4872, KGP,109070,B이하,D,B이하,B이하,2017,
4871, KG케미칼,001390,B이하,D,B이하,B이하,2017,
4870, KISCO홀딩스,001940,B이하,B,B이하,B이하,2017,
4869, KPX그린케미칼,083420,B이하,D,B이하,B+,2017,
