Firm,종목명,산업코드,산업명-소분류,Index,산업명-대분류
A000020,동화약품,FGSC.35.20.20,제약,KOSPI,의료
A000030,우리은행,FGSC.40.10.10,상업은행,KOSPI,금융
A000040,KR모터스,FGSC.25.10.20,자동차,KOSPI,경기소비재
A000050,경방,FGSC.25.20.30,섬유 및 의복,KOSPI,경기소비재
A000060,메리츠화재,FGSC.40.30.10,보험,KOSPI,금융
A000070,삼양홀딩스,FGSC.30.20.20,식료품,KOSPI,필수소비재
A000080,하이트진로,FGSC.30.20.10,음료,KOSPI,필수소비재
A000100,유한양행,FGSC.35.20.20,제약,KOSPI,의료
A000120,CJ대한통운,FGSC.20.30.40,육상운수,KOSPI,산업재
A000140,하이트진로홀딩스,FGSC.30.20.10,음료,KOSPI,필수소비재
A000150,두산,FGSC.20.10.50,복합 산업,KOSPI,산업재
A000180,성창기업지주,FGSC.15.10.50,종이 및 목재,KOSPI,소재
A000210,대림산업,FGSC.20.10.30,건설,KOSPI,산업재
A000220,유유제약,FGSC.35.20.20,제약,KOSPI,의료
A000230,일동홀딩스,FGSC.35.20.20,제약,KOSPI,의료
A000240,한국타이어월드와이드,FGSC.25.10.10,자동차부품,KOSPI,경기소비재
A000270,기아차,FGSC.25.10.20,자동차,KOSPI,경기소비재
A000300,대유플러스,FGSC.25.10.10,자동차부품,KOSPI,경기소비재
A000320,노루홀딩스,FGSC.20.10.20,건축자재,KOSPI,산업재
A000370,한화손해보험,FGSC.40.30.10,보험,KOSPI,금융
A000390,삼화페인트,FGSC.20.10.20,건축자재,KOSPI,산업재
A000400,롯데손해보험,FGSC.40.30.10,보험,KOSPI,금융
A000430,대원강업,FGSC.25.10.10,자동차부품,KOSPI,경기소비재
A000480,조선내화,FGSC.15.10.40,금속 및 광물,KOSPI,소재
A000490,대동공업,FGSC.20.10.60,기계,KOSPI,산업재
A000500,가온전선,FGSC.20.10.40,전기장비,KOSPI,산업재
A000520,삼일제약,FGSC.35.20.20,제약,KOSPI,의료
A000540,흥국화재,FGSC.40.30.10,보험,KOSPI,금융
A000590,CS홀딩스,FGSC.15.10.40,금속 및 광물,KOSPI,소재
A000640,동아쏘시오홀딩스,FGSC.35.20.20,제약,KOSPI,의료
A000650,천일고속,FGSC.20.30.40,육상운수,KOSPI,산업재
A000660,SK하이닉스,FGSC.45.30.10,반도체 및 관련장비,KOSPI,IT
A000670,영풍,FGSC.45.20.50,휴대폰 및 관련부품,KOSPI,IT
A000680,LS네트웍스,FGSC.25.20.30,섬유 및 의복,KOSPI,경기소비재
