Date,KOSPI,KOSDAQ
2002-01-01,693.7,722.1
2002-01-02,724.95,744.7
2002-01-03,727.66,744.9
2002-01-04,747.72,754.5
2002-01-07,751.48,760.9
2002-01-08,734.76,753.5
2002-01-09,751.61,761.5
2002-01-10,728.23,763.3
2002-01-11,727.36,750.2
2002-01-14,744.03,751.1
2002-01-15,718.64,731.9
2002-01-16,710.95,729.1
2002-01-17,713.5,722.9
2002-01-18,708.47,720.2
2002-01-21,717.35,729.9
2002-01-22,724.36,739.3
2002-01-23,742.62,750.3
2002-01-24,757.71,750.1
2002-01-25,774.68,764.7
2002-01-28,780.24,799.9
2002-01-29,774.03,790.9
2002-01-30,749.45,762
2002-01-31,748.07,773.6
2002-02-01,742.42,759.8
2002-02-04,730.21,742.8
2002-02-05,739.91,743.5
2002-02-06,741.55,747.4
2002-02-07,727.71,724.5
2002-02-08,739.66,728.8
2002-02-11,739.66,728.8
2002-02-12,739.66,728.8
2002-02-13,739.66,728.8
2002-02-14,796.18,751.9
2002-02-15,783.59,753
2002-02-18,790.37,760.5
2002-02-19,782.27,758.5
2002-02-20,776.89,756.7
2002-02-21,787.62,763
2002-02-22,792,770.6
2002-02-25,791.48,771.1
2002-02-26,801.14,770
2002-02-27,822.11,775.4
2002-02-28,819.99,787.1
2002-03-01,819.99,787.1
2002-03-04,834.21,830.4
2002-03-05,841.95,836.2
2002-03-06,843.06,841.4
2002-03-07,829.44,837.3
2002-03-08,825.27,840.9
2002-03-11,827.02,865.4
2002-03-12,846.03,866
2002-03-13,849.13,869.6
2002-03-14,856.86,874.9
2002-03-15,860.36,893.5
2002-03-18,869.71,917.8
2002-03-19,889.98,925.8
2002-03-20,887.48,916.6
2002-03-21,885.64,918.4
2002-03-22,895.98,943
2002-03-25,879.41,936.3
2002-03-26,881.03,925.6
2002-03-27,902.46,931
2002-03-28,892.67,918.5
2002-03-29,895.58,927.3
2002-04-01,875.83,877
2002-04-02,905.34,884.2
2002-04-03,918.59,878.7
2002-04-04,918.01,882
2002-04-05,918.01,882
2002-04-08,900.69,879.9
2002-04-09,888.67,862.1
2002-04-10,856.03,835.4
2002-04-11,862.86,846.1
2002-04-12,875.69,842.4
2002-04-15,894.28,858.2
2002-04-16,901.29,865.1
2002-04-17,930.51,874.3
2002-04-18,937.61,876.8
2002-04-19,923.94,858.8
2002-04-22,920.89,824.5
2002-04-23,925.7,810.2
2002-04-24,915.69,794.8
2002-04-25,872.58,757.3
2002-04-26,869.65,767.8
2002-04-29,838.51,737
2002-04-30,842.34,733.4
2002-05-01,842.34,733.4
2002-05-02,859.86,763.1
