Date,Equal Weight
2002-01-01,707.9
2002-01-02,734.825
2002-01-03,736.28
2002-01-04,751.11
2002-01-07,756.19
2002-01-08,744.13
2002-01-09,756.555
2002-01-10,745.765
2002-01-11,738.78
2002-01-14,747.565
2002-01-15,725.27
2002-01-16,720.025
2002-01-17,718.2
2002-01-18,714.335
2002-01-21,723.625
2002-01-22,731.83
2002-01-23,746.46
2002-01-24,753.905
2002-01-25,769.69
2002-01-28,790.07
2002-01-29,782.465
2002-01-30,755.725
2002-01-31,760.835
2002-02-01,751.11
2002-02-04,736.505
2002-02-05,741.705
2002-02-06,744.475
2002-02-07,726.105
2002-02-08,734.23
2002-02-11,734.23
2002-02-12,734.23
2002-02-13,734.23
2002-02-14,774.04
2002-02-15,768.295
2002-02-18,775.435
2002-02-19,770.385
2002-02-20,766.795
2002-02-21,775.31
2002-02-22,781.3
2002-02-25,781.29
2002-02-26,785.57
2002-02-27,798.755
2002-02-28,803.545
2002-03-01,803.545
2002-03-04,832.305
2002-03-05,839.075
2002-03-06,842.23
2002-03-07,833.37
2002-03-08,833.085
2002-03-11,846.21
2002-03-12,856.015
2002-03-13,859.365
2002-03-14,865.88
2002-03-15,876.93
2002-03-18,893.755
2002-03-19,907.89
2002-03-20,902.04
2002-03-21,902.02
2002-03-22,919.49
2002-03-25,907.855
2002-03-26,903.315
2002-03-27,916.73
2002-03-28,905.585
2002-03-29,911.44
2002-04-01,876.415
2002-04-02,894.77
2002-04-03,898.645
2002-04-04,900.005
2002-04-05,900.005
2002-04-08,890.295
2002-04-09,875.385
2002-04-10,845.715
2002-04-11,854.48
2002-04-12,859.045
2002-04-15,876.24
2002-04-16,883.195
2002-04-17,902.405
2002-04-18,907.205
2002-04-19,891.37
2002-04-22,872.695
2002-04-23,867.95
2002-04-24,855.245
2002-04-25,814.94
2002-04-26,818.725
2002-04-29,787.755
2002-04-30,787.87
2002-05-01,787.87
2002-05-02,811.48
2002-05-03,810.76
2002-05-06,790.935
2002-05-07,787.27
2002-05-08,806.235
2002-05-09,809.435
2002-05-10,793.915
2002-05-13,794.095
2002-05-14,801.985
2002-05-15,823.01
2002-05-16,818.97
2002-05-17,834.865
2002-05-20,829.64
2002-05-21,802.03
2002-05-22,818.63
2002-05-23,800.405
2002-05-24,805.135
2002-05-27,792.235
2002-05-28,794.75
2002-05-29,779.945
2002-05-30,759.705
2002-05-31,747.1
2002-06-03,751.465
2002-06-04,752.565
2002-06-05,760.045
2002-06-06,760.045
2002-06-07,746.18
2002-06-10,762.2
2002-06-11,764.465
2002-06-12,773.53
2002-06-13,773.53
2002-06-14,768.755
2002-06-17,756.88
2002-06-18,755.6
2002-06-19,719.485
2002-06-20,717.255
2002-06-21,718.315
2002-06-24,703.51
2002-06-25,687.36
2002-06-26,634.085
2002-06-27,641.365
2002-06-28,675.61
2002-07-01,675.61
2002-07-02,678.365
2002-07-03,687.43
2002-07-04,702.92
2002-07-05,718.815
2002-07-08,718.125
2002-07-09,735.545
2002-07-10,734.605
2002-07-11,710.54
2002-07-12,730.565
2002-07-15,720.46
2002-07-16,706.825
2002-07-17,706.825
2002-07-18,709.275
2002-07-19,693.01
2002-07-22,656.85
2002-07-23,679.81
2002-07-24,658.405
2002-07-25,662.91
2002-07-26,640.57
2002-07-29,637.875
2002-07-30,657.84
2002-07-31,652.095
2002-08-01,646
2002-08-02,638.34
2002-08-05,614.08
2002-08-06,609.04
2002-08-07,616.385
2002-08-08,624.595
2002-08-09,627.375
2002-08-12,631.145
2002-08-13,643.865
2002-08-14,645.32
2002-08-15,645.32
2002-08-16,650.145
2002-08-19,650.49
2002-08-20,664.1
2002-08-21,670.26
2002-08-22,672.925
2002-08-23,669.505
2002-08-26,664.395
2002-08-27,657.985
2002-08-28,655.275
2002-08-29,654.67
2002-08-30,663.75
2002-09-02,673.69
2002-09-03,665.345
2002-09-04,652.025
2002-09-05,650.79
2002-09-06,635.465
2002-09-09,617.245
2002-09-10,627.85
2002-09-11,636.855
2002-09-12,645.96
2002-09-13,630.485
2002-09-16,619.44
2002-09-17,639.5
2002-09-18,620.835
2002-09-19,620.46
2002-09-20,620.46
2002-09-23,598.865
2002-09-24,588.19
2002-09-25,572.93
2002-09-26,574.355
2002-09-27,574.46
2002-09-30,556.76
2002-10-01,563.715
2002-10-02,561.6
2002-10-03,561.6
2002-10-04,565.56
2002-10-07,547.7
2002-10-08,552.82
2002-10-09,539.12
2002-10-10,510.72
2002-10-11,512.105
2002-10-14,536.385
2002-10-15,551.635
2002-10-16,555.525
2002-10-17,564.48
2002-10-18,586.445
2002-10-21,569.635
2002-10-22,557.835
2002-10-23,572.465
2002-10-24,567.09
2002-10-25,567.24
2002-10-28,585.92
2002-10-29,582.59
2002-10-30,570.415
2002-10-31,569.71
2002-11-01,562.025
2002-11-04,577.24
2002-11-05,572.5
2002-11-06,586.03
2002-11-07,583.935
2002-11-08,579.375
2002-11-11,566.19
2002-11-12,563.015
2002-11-13,562.075
2002-11-14,561.325
2002-11-15,576.525
2002-11-18,572.465
2002-11-19,575.17
2002-11-20,581.05
2002-11-21,585.54
2002-11-22,588.735
2002-11-25,598.68
2002-11-26,597.735
2002-11-27,605.935
2002-11-28,612.57
2002-11-29,621.9
2002-12-02,629.83
2002-12-03,637.185
2002-12-04,615.9
2002-12-05,625.73
2002-12-06,625.295
2002-12-09,619.455
2002-12-10,614.07
2002-12-11,612.305
2002-12-12,624.59
2002-12-13,621.765
2002-12-16,607.46
2002-12-17,615.845
2002-12-18,616.76
2002-12-19,616.76
2002-12-20,613.52
2002-12-23,591.39
2002-12-24,579.06
2002-12-25,579.06
2002-12-26,572.545
2002-12-27,559.86
2002-12-30,535.575
2002-12-31,535.575
2003-01-01,535.575
2003-01-02,550.585
2003-01-03,572.25
2003-01-06,577.005
2003-01-07,564.5
2003-01-08,566.66
2003-01-09,555.5
2003-01-10,549.18
2003-01-13,566.78
2003-01-14,569.275
2003-01-15,568.195
2003-01-16,567.095
2003-01-17,557.48
2003-01-20,553.9
2003-01-21,550.18
2003-01-22,538.995
2003-01-23,541.49
2003-01-24,526.015
2003-01-27,513.545
2003-01-28,519.03
2003-01-29,504.275
2003-01-30,512.88
2003-01-31,512.88
2003-02-03,520.705
2003-02-04,523.49
2003-02-05,520.84
2003-02-06,512.45
2003-02-07,502.59
2003-02-10,499.925
2003-02-11,498.74
2003-02-12,503.795
2003-02-13,498.935
2003-02-14,499.52
2003-02-17,521.535
2003-02-18,521.325
2003-02-19,518.715
2003-02-20,521.705
2003-02-21,519.3
2003-02-24,527.545
2003-02-25,508.275
2003-02-26,508.03
2003-02-27,505.33
2003-02-28,496.615
2003-03-03,505.32
2003-03-04,493.19
2003-03-05,476.93
2003-03-06,468.615
2003-03-07,456.46
2003-03-10,453.12
2003-03-11,443.415
2003-03-12,450.055
2003-03-13,446.24
2003-03-14,453.875
2003-03-17,430.82
2003-03-18,451.155
2003-03-19,454.74
2003-03-20,479.93
2003-03-21,488.385
2003-03-24,482.625
2003-03-25,467.34
2003-03-26,470.545
2003-03-27,467.08
2003-03-28,474.565
2003-03-31,456.7
2003-04-01,460.53
2003-04-02,465.31
2003-04-03,466.47
2003-04-04,476.055
2003-04-07,498.55
2003-04-08,499.61
2003-04-09,487.185
2003-04-10,492.915
2003-04-11,496.885
2003-04-14,507.05
2003-04-15,517.295
2003-04-16,531.77
2003-04-17,526.06
2003-04-18,536.535
2003-04-21,537.715
2003-04-22,523.86
2003-04-23,518.795
2003-04-24,509.425
2003-04-25,487.765
2003-04-28,488.76
2003-04-29,513.93
2003-04-30,513.675
2003-05-01,513.675
2003-05-02,515.17
2003-05-05,515.17
2003-05-06,518.465
2003-05-07,527.19
2003-05-08,527.19
2003-05-09,528.405
2003-05-12,540.32
2003-05-13,527.285
2003-05-14,525.035
2003-05-15,530.375
2003-05-16,525.305
2003-05-19,513.73
2003-05-20,520.84
2003-05-21,521.135
2003-05-22,519.64
2003-05-23,533.905
2003-05-26,545.025
2003-05-27,543.4
2003-05-28,549.33
2003-05-29,551.665
2003-05-30,552.61
2003-06-02,562.705
2003-06-03,551.42
2003-06-04,556.985
2003-06-05,557.49
2003-06-06,557.49
2003-06-09,566.125
2003-06-10,565.775
2003-06-11,567.095
2003-06-12,575.275
2003-06-13,581.37
2003-06-16,579.01
2003-06-17,590.48
2003-06-18,590.625
2003-06-19,599.545
2003-06-20,597.11
2003-06-23,584.095
2003-06-24,576.705
2003-06-25,583.565
2003-06-26,582.925
2003-06-27,587.04
2003-06-30,583.715
2003-07-01,588.225
2003-07-02,596.6
2003-07-03,597.515
2003-07-04,604.575
2003-07-07,618.195
2003-07-08,619.67
2003-07-09,620.25
2003-07-10,614.205
2003-07-11,614.825
2003-07-14,625.65
2003-07-15,617.075
